"Módulo de Análise: Origem de Dados da Coleta";
"Data de solicitação 30/10/2018";
"Período Solicitado de 01/09/2018 até 30/10/2018";
"Agente";"Ponto / Grupo";"Data";"Hora";"Ativa C (kWh)";"Ativa G (kWh)";"Qualidade";"Origem";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;1;0,000;1.152,241;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;2;0,000;1.152,168;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;3;0,000;1.152,019;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;4;0,000;1.152,020;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;5;0,000;1.151,958;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;6;0,000;1.151,842;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;7;0,000;1.151,933;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;8;0,000;1.151,923;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;9;0,000;1.152,042;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;10;0,000;1.152,056;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;11;0,000;1.152,150;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;12;0,000;1.152,369;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;13;0,000;1.152,684;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;14;0,000;1.152,617;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;15;0,000;1.152,413;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;16;0,000;1.152,404;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;17;0,000;1.152,699;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";07/09/2018;18;0,000;1.153,119;"Completo";"COLETA DIÁRIA";
